ExperimentName	SessionDate	SessionTime	SessionStartDateTimeUtc	Subject	CPGroup	Session	DataFile.Basename	RandomSeed	Group	Display.RefreshRate	Clock.Information	StudioVersion	RuntimeVersion	RuntimeVersionExpected	RuntimeCapabilities	ExperimentVersion	BlockList	Procedure[Block]	BlockList.Cycle	BlockList.Sample	Running[Block]	Intro13.OnsetDelay	Intro13.OnsetTime	Intro13.DurationError	Intro13.RTTime	Intro13.ACC	Intro13.RT	Intro13.RESP	Intro13.CRESP	Intro13.OnsetToOnsetTime	Intro14.OnsetDelay	Intro14.OnsetTime	Intro14.DurationError	Intro14.RTTime	Intro14.ACC	Intro14.RT	Intro14.RESP	Intro14.CRESP	Intro14.OnsetToOnsetTime	InTheEnd[Block]	InTheEnd.Cycle	InTheEnd.Sample	Block	Procedure[Trial]	QuestionPracList	Correct_75	Running[Trial]	QuestionPracList.Cycle	QuestionPracList.Sample	PracSlide1.OnsetDelay	PracSlide1.OnsetTime	PracSlide1.DurationError	PracSlide1.RTTime	PracSlide1.ACC	PracSlide1.RT	PracSlide1.RESP	PracSlide1.CRESP	PracSlide1.OnsetToOnsetTime	QuestionPracList2	Correct_20	QuestionPracList2.Cycle	QuestionPracList2.Sample	PracSlide2.OnsetDelay	PracSlide2.OnsetTime	PracSlide2.DurationError	PracSlide2.RTTime	PracSlide2.ACC	PracSlide2.RT	PracSlide2.RESP	PracSlide2.CRESP	PracSlide2.OnsetToOnsetTime	QuestionPracList3	Correct_b	QuestionPracList3.Cycle	QuestionPracList3.Sample	PracSlide3.OnsetDelay	PracSlide3.OnsetTime	PracSlide3.DurationError	PracSlide3.RTTime	PracSlide3.ACC	PracSlide3.RT	PracSlide3.RESP	PracSlide3.CRESP	PracSlide3.OnsetToOnsetTime	QuestionPracList4	Correct_D	QuestionPracList4.Cycle	QuestionPracList4.Sample	PracSlide4.OnsetDelay	PracSlide4.OnsetTime	PracSlide4.DurationError	PracSlide4.RTTime	PracSlide4.ACC	PracSlide4.RT	PracSlide4.RESP	PracSlide4.CRESP	PracSlide4.OnsetToOnsetTime	QuestionPracList5	Correct_5	QuestionPracList5.Cycle	QuestionPracList5.Sample	PracSlide5.OnsetDelay	PracSlide5.OnsetTime	PracSlide5.DurationError	PracSlide5.RTTime	PracSlide5.ACC	PracSlide5.RT	PracSlide5.RESP	PracSlide5.CRESP	PracSlide5.OnsetToOnsetTime	QuestionPracList6	QuestionPracList6.Cycle	QuestionPracList6.Sample	PraceSlide6.OnsetDelay	PraceSlide6.OnsetTime	PraceSlide6.DurationError	PraceSlide6.RTTime	PraceSlide6.ACC	PraceSlide6.RT	PraceSlide6.RESP	PraceSlide6.CRESP	PraceSlide6.OnsetToOnsetTime	QuestionPracList7	QuestionPracList7.Cycle	QuestionPracList7.Sample	PraceSlide7.OnsetDelay	PraceSlide7.OnsetTime	PraceSlide7.DurationError	PraceSlide7.RTTime	PraceSlide7.ACC	PraceSlide7.RT	PraceSlide7.RESP	PraceSlide7.CRESP	PraceSlide7.OnsetToOnsetTime	PracTrialList01	RiskAmbigLevel	BlueValue	RedValue	Reference	BlockStartText	TrialNum	PracTrialList01.Cycle	PracTrialList01.Sample	BlockStart1.OnsetDelay	BlockStart1.OnsetTime	BlockStart1.DurationError	BlockStart1.Duration	BlockStart1.OnsetToOnsetTime	LotterySide	choice0.OnsetDelay	choice0.OnsetTime	choice0.DurationError	choice0.Duration	choice0.RT	choice0.RESP	choice0.OnsetToOnsetTime	ImageDisplay0.OnsetDelay	ImageDisplay0.OnsetTime	ImageDisplay0.DurationError	ImageDisplay0.Duration	ImageDisplay0.OnsetToOnsetTime	RespFdbk1.OnsetDelay	RespFdbk1.OnsetTime	RespFdbk1.DurationError	RespFdbk1.Duration	RespFdbk1.RT	RespFdbk1.RESP	RespFdbk1.OnsetToOnsetTime	PracTrialList02	PracTrialList02.Cycle	PracTrialList02.Sample	PracTrialList03	PracTrialList03.Cycle	PracTrialList03.Sample	PracTrialList04	PracTrialList04.Cycle	PracTrialList04.Sample	InTheEnd[Trial]	NewBlock	Condition	BagNum	Block1	Block1.Cycle	Block1.Sample	choice.OnsetDelay	choice.OnsetTime	choice.DurationError	choice.Duration	choice.RT	choice.RESP	choice.OnsetToOnsetTime	ImageDisplay2.OnsetDelay	ImageDisplay2.OnsetTime	ImageDisplay2.DurationError	ImageDisplay2.Duration	ImageDisplay2.OnsetToOnsetTime	RespFdbk.OnsetDelay	RespFdbk.OnsetTime	RespFdbk.DurationError	RespFdbk.Duration	RespFdbk.RT	RespFdbk.RESP	RespFdbk.OnsetToOnsetTime	Block2	Block2.Cycle	Block2.Sample	Block3	Block3.Cycle	Block3.Sample	Block4	Block4.Cycle	Block4.Sample	Trial
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	3	PracBlockProc02	1	3	BlockList																						3	TrialProc0			PracTrialList02																																																																																									risk_blue_13	-$20	$0	-$1.50	""	3								Left	7	374043	-999999	10000	2485	1	0	13	377041	-13	1000	0	27	376555	-27	500	0	""	486	4	1	4																																										4
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	3	PracBlockProc02	1	3	BlockList																						3	TrialProc0			PracTrialList02																																																																																									ambig_red_50	$0	-$7	-$1.50	""	4								Left	1	378029	-999999	10000	2931	2	0	2	381462	-2	1000	0	33	380993	-33	500	0	""	469	5	1	5																																										5
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	4	PracBlockProc03	1	4	BlockList																						4	StartProc0			PracTrialList03																																																																																									""	""	""	""	Practice Section WIN	""			7	382467	-999999	-1	0																								1	1	1																																							1
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	4	PracBlockProc03	1	4	BlockList																						4	TrialProc0			PracTrialList03																																																																																									risk_blue_75	$18	$0	$1.50	""	1								Left	24	384376	-999999	10000	2680	1	0	3	387559	-3	1000	0	34	387090	-34	500	0	""	469				2	1	2																																							2
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	4	PracBlockProc03	1	4	BlockList																						4	TrialProc0			PracTrialList03																																																																																									risk_blue_50	$2	$0	$1.50	""	2								Right	8	388564	-999999	10000	5932	1	0	16	395012	-16	1000	0	30	394526	-30	500	0	""	486				3	1	3																																							3
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	4	PracBlockProc03	1	4	BlockList																						4	TrialProc0			PracTrialList03																																																																																									ambig_red_75	$0	$20	$1.50	""	3								Left	4	396000	-999999	10000	3040	1	0	11	399551	-11	1000	0	25	399065	-25	500	0	""	486				4	1	4																																							4
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	4	PracBlockProc03	1	4	BlockList																						4	TrialProc0			PracTrialList03																																																																																									risk_red_13	$0	$5	$1.50	""	4								Right	16	400556	-999999	10000	3204	1	0	14	404274	-14	1000	0	28	403788	-28	500	0	""	486				5	1	5																																							5
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	5	PracBlockProc04	1	5	BlockList																						5	StartProc0			PracTrialList04																																																																																									""	""	""	""	Practice Section LOSE	""			2	405262	-999999	-1	0																											1	1	1																																				1
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	5	PracBlockProc04	1	5	BlockList																						5	TrialProc0			PracTrialList04																																																																																									ambig_blue_50	-$2	$0	-$1.50	""	1								Left	34	406786	-999999	10000	2837	1	0	13	410136	-13	1000	0	27	409650	-27	500	0	""	486							2	1	2																																				2
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	5	PracBlockProc04	1	5	BlockList																						5	TrialProc0			PracTrialList04																																																																																									risk_blue_38	-$25	$0	-$1.50	""	2								Right	1	411124	-999999	10000	4171	1	0	2	415797	-2	1000	0	33	415328	-33	500	0	""	469							3	1	3																																				3
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	5	PracBlockProc04	1	5	BlockList																						5	TrialProc0			PracTrialList04																																																																																									risk_red_50	$0	-$12	-$1.50	""	3								Left	7	416802	-999999	10000	3101	1	0	0	420403	0	1000	0	31	419934	-31	500	0	""	469							4	1	4																																				4
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	5	PracBlockProc04	1	5	BlockList																						5	TrialProc0			PracTrialList04																																																																																									ambig_red_25	$0	-$6	-$1.50	""	4								Left	4	421407	-999999	10000	4512	1	0	13	426432	-13	1000	0	27	425946	-27	500	0	""	486							5	1	5																																				5
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	StartProc			Block1																																																																																									""	""	""	""	Section 1 - WIN	""			32	443047	-999999	-1	0																														""	""	""	""	1	1	1																													1
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_red_38	$0	$6	$1.50	""	1								Right																													0	1	Gain	6	2	1	2	35	445090	-35	5000	0	""	4974	5	451069	-5	1000	0	0	0	0	500	0	""	0										2
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_blue_75	$2.50	$0	$1.50	""	2								Right																													0	1	Gain	5	3	1	3	10	452074	-999999	5000	2172	2	0	8	454754	-8	1000	0	22	454268	-22	500	0	""	486										3
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									ambig_blue_25	$6	$0	$1.50	""	3								Right																													0	1	Gain	10	4	1	4	13	455759	-999999	5000	2847	2	0	2	459108	-2	1000	0	33	458639	-33	500	0	""	469										4
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_blue_13	$2.50	$0	$1.50	""	4								Right																													0	1	Gain	1	5	1	5	7	460113	-999999	5000	2021	1	0	8	462642	-8	1000	0	23	462157	-23	500	0	""	485										5
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_red_50	$0	$1.50	$1.50	""	5								Right																													0	1	Gain	4	6	1	6	13	463647	-999999	5000	2087	2	0	9	466243	-9	1000	0	24	465758	-24	500	0	""	485										6
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_blue_38	$15	$0	$1.50	""	6								Left																													0	1	Gain	7	7	1	7	14	467248	-999999	5000	2542	1	0	6	470296	-6	1000	0	21	469811	-21	500	0	""	485										7
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									ambig_red_75	$0	$15	$1.50	""	7								Right																													0	1	Gain	12	8	1	8	11	471301	-999999	5000	2233	2	0	14	474048	-14	1000	0	28	473562	-28	500	0	""	486										8
EDITED__RiskAmb_AdolGaba (1)	09-23-2018	10:07:55	9/23/2018 4:07:55 PM	0028	Child	2	RiskAmb_0028_2_Child	-118185002	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636777</Frequency><Timestamp dt:dt=""r8"">25651280207</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-09-23T16:07:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.248	2.0.10.356	2.0.10.353	Professional	1.0.0.565	6	BlockProc1	1	6	BlockList																						6	TrialProc			Block1																																																																																									risk_red_13	$0	$6	$1.50	""	8								Right																													0	1	Gain	2	9	1	9	2	475036	-999999	5000	2130	1	0	0	477666	0	1000	0	31	477197	-31	500	0	""	469										9
